age,WORKCLASS,fnlwgt,educational_num,MARITAL_STATUS,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_0
48,0,242406,7,2,7,5,0,1,0,0,40,3,0
21,0,197200,10,2,7,1,0,1,0,0,40,0,0
19,0,544091,9,6,8,0,0,0,0,0,25,0,0
31,0,84154,10,0,3,2,0,1,0,0,38,NULL,1
48,1,265477,12,0,5,2,0,1,0,0,40,0,0
31,0,507875,5,0,7,2,0,1,0,0,43,0,0
53,1,88506,13,0,5,2,0,1,0,0,40,0,0
24,0,172987,13,0,0,2,0,1,0,0,50,0,0
49,0,94638,9,3,8,5,0,0,0,0,40,0,0
25,0,289980,9,2,6,3,0,1,0,0,35,0,0
57,3,337895,13,0,5,2,4,1,0,0,40,0,1
53,0,144361,9,0,7,2,0,1,0,0,38,0,0
44,0,128354,14,1,4,5,0,0,0,0,40,0,0
41,5,101603,11,0,1,2,0,1,0,0,40,0,0
29,0,271466,11,2,5,3,0,1,0,0,43,0,0
25,0,32275,10,0,4,0,3,0,0,0,40,0,0
18,0,226956,9,2,2,1,0,0,0,0,30,NULL,0
47,0,51835,15,0,5,0,0,0,0,1902,60,14,1
50,3,251585,13,1,4,3,0,1,0,0,55,0,1
47,2,109832,9,1,4,3,0,1,0,0,60,0,0
43,0,237993,10,0,0,2,0,1,0,0,40,0,1
46,0,216666,3,0,7,2,0,1,0,0,40,20,0
35,0,56352,11,0,2,2,0,1,0,0,40,3,0
41,0,147372,9,0,8,2,0,1,0,0,48,0,0
30,0,188146,9,0,7,2,0,1,5013,0,40,0,0
30,0,59496,13,0,3,2,0,1,2407,0,40,0,0
32,NULL,293936,4,5,NULL,3,0,1,0,0,40,NULL,0
48,0,149640,9,0,10,2,0,1,0,0,40,0,0
42,0,116632,16,0,5,2,0,1,0,0,45,0,1
29,0,105598,10,1,0,3,0,1,0,0,58,0,0
36,0,155537,9,0,1,2,0,1,0,0,40,0,0
28,0,183175,10,1,8,3,0,0,0,0,40,0,0
53,0,169846,9,0,8,0,0,0,0,0,40,0,1
49,2,191681,10,0,4,2,0,1,0,0,50,0,1
25,NULL,200681,10,2,NULL,1,0,1,0,0,40,0,0
19,0,101509,10,2,5,1,0,1,0,0,32,0,0
31,0,309974,13,3,3,1,4,0,0,0,40,0,0
29,1,162298,13,0,3,2,0,1,0,0,70,0,1
23,0,211678,10,2,7,3,0,1,0,0,40,0,0
79,0,124744,10,0,5,4,0,1,0,0,20,0,0
27,0,213921,9,2,2,1,0,1,0,0,40,20,0
40,0,32214,12,0,8,2,0,1,0,0,40,0,0
67,NULL,212759,6,0,NULL,2,0,1,0,0,2,0,0
18,0,309634,7,2,2,1,0,0,0,0,22,0,0
31,4,125927,4,0,9,2,0,1,0,0,40,0,0
18,0,446839,9,2,3,3,0,1,0,0,30,0,0
52,0,276515,13,0,2,2,0,1,0,0,40,12,0
46,0,51618,9,0,2,0,0,0,0,0,40,0,0
59,0,159937,9,0,3,2,0,1,0,0,48,0,0
44,0,343591,9,1,1,3,0,0,14344,0,40,0,1
53,0,346253,9,1,3,1,0,0,0,0,35,0,0
49,4,268234,9,0,12,2,0,1,0,0,40,0,1
33,0,202051,14,0,5,2,0,1,0,0,50,0,0
30,0,54334,5,2,3,3,0,1,0,0,40,0,0
43,3,410867,16,2,5,3,0,0,0,0,50,0,1
57,0,249977,11,0,5,2,0,1,0,0,40,0,0
37,0,286730,10,1,1,5,0,0,0,0,40,0,0
28,0,212563,10,1,7,5,4,0,0,0,25,0,0
30,0,117747,9,0,3,0,1,0,0,1573,35,NULL,0
34,4,226296,13,0,12,2,0,1,0,0,40,0,1
29,4,115585,10,2,6,3,0,1,0,0,50,0,0
48,1,191277,16,0,5,2,0,1,0,1902,60,0,1
37,0,202683,10,0,3,2,0,1,0,0,48,0,1
48,0,171095,12,1,4,5,0,0,0,0,40,2,0
32,3,249409,9,2,2,1,4,1,0,0,40,0,0
76,0,124191,14,0,4,2,0,1,0,0,40,0,1
44,0,198282,13,0,4,2,0,1,15024,0,60,0,1
47,1,149116,14,2,5,3,0,0,0,0,50,0,0
20,0,188300,10,2,0,1,0,0,0,0,40,0,0
29,0,103432,9,2,1,3,0,1,0,0,40,0,0
32,2,317660,9,0,1,2,0,1,7688,0,40,0,1
17,NULL,304873,6,2,NULL,1,0,0,34095,0,32,0,0
30,0,194901,7,2,6,1,0,1,0,0,40,0,0
31,4,189265,9,2,8,3,0,0,0,0,40,0,0
42,0,124692,9,0,6,2,0,1,0,0,40,0,0
24,0,432376,13,2,3,4,0,1,0,0,40,0,0
38,0,65324,15,0,5,2,0,1,0,0,40,0,1
56,1,335605,9,0,2,2,0,1,0,1887,50,4,1
28,0,377869,10,0,3,0,0,0,4064,0,25,0,0
36,0,102864,9,2,7,1,0,0,0,0,40,0,0
53,0,95647,5,0,6,2,0,1,0,0,50,0,0
56,2,303090,10,0,3,2,0,1,0,0,50,0,0
49,4,197371,11,0,1,2,4,1,0,0,40,0,1
55,0,247552,10,0,3,2,0,1,0,0,56,0,0
22,0,102632,9,2,1,3,0,1,0,0,41,0,0
21,0,199915,10,2,2,1,0,0,0,0,40,0,0
40,0,118853,13,0,4,2,0,1,0,0,60,0,0
30,0,77143,13,2,4,1,4,1,0,0,40,5,0
29,5,267989,13,0,5,2,0,1,0,0,50,0,1
19,0,301606,10,2,2,1,4,1,0,0,35,0,0
47,0,287828,13,0,4,0,0,0,0,0,40,0,1
20,0,111697,10,2,8,1,0,0,0,1719,28,0,0
31,0,114937,12,0,8,2,0,1,0,0,40,0,1
35,NULL,129305,9,0,NULL,2,0,1,0,0,40,0,0
39,0,365739,10,1,1,3,0,1,0,0,40,0,0
28,0,69621,12,2,3,3,0,0,0,0,60,0,0
24,0,43323,9,2,2,3,0,0,0,1762,40,0,0
38,1,120985,9,0,1,2,0,1,4386,0,35,0,0
37,0,254202,13,0,3,2,0,1,0,0,50,0,0
46,0,146195,12,1,0,3,4,0,0,0,36,0,0
38,3,125933,14,0,5,2,0,1,0,0,40,13,1
43,1,56920,9,0,1,2,0,1,0,0,60,0,0
27,0,163127,11,0,8,0,0,0,0,0,35,0,0
20,0,34310,10,2,3,1,0,1,0,0,20,0,0
49,0,81973,10,0,1,2,1,1,0,0,40,0,1
61,2,66614,9,0,1,2,0,1,0,0,40,0,0
27,0,232782,10,2,3,1,0,0,0,0,40,0,0
19,0,316868,10,2,2,1,0,1,0,0,30,20,0
45,0,196584,11,2,5,3,0,0,0,1564,40,0,1
70,0,105376,10,2,0,4,0,1,0,0,40,0,0
31,0,185814,9,2,10,5,4,0,0,0,30,0,0
22,0,175374,10,0,2,2,0,1,0,0,24,0,0
36,0,108293,9,4,2,5,0,0,0,0,24,0,0
64,0,181232,7,0,1,2,0,1,0,2179,40,0,0
43,NULL,174662,10,1,NULL,3,0,0,0,0,40,0,0
47,4,186009,10,1,8,5,0,0,0,0,38,20,0
34,0,198183,9,2,8,3,0,0,0,0,40,0,0
33,0,163003,13,2,4,4,1,0,0,0,40,15,0
21,0,296158,9,2,1,1,0,1,0,0,35,0,0
52,NULL,252903,9,1,NULL,3,0,1,0,0,45,0,1
48,0,187715,9,0,1,2,0,1,0,0,46,0,0
23,0,214542,13,2,6,3,0,1,0,0,40,0,0
71,1,494223,10,3,3,5,4,1,0,1816,2,0,0
29,0,191535,9,1,1,3,0,1,0,0,60,0,0
42,0,228456,13,3,2,4,4,1,0,0,50,0,0
68,NULL,38317,2,1,NULL,3,0,0,0,0,20,0,0
25,0,252752,9,2,2,5,0,0,0,0,40,0,0
44,2,78374,14,1,4,5,1,0,0,0,40,0,0
28,0,88419,9,2,4,3,1,0,0,0,40,2,0
45,1,201080,14,0,3,2,0,1,0,0,40,0,1
36,0,207157,10,1,2,5,0,0,0,0,40,20,0
39,3,235485,12,2,4,3,0,1,0,0,42,0,0
46,5,102628,14,4,12,5,0,1,0,0,40,0,0
18,0,25828,7,2,6,1,0,1,0,0,16,0,0
66,4,54826,11,4,5,3,0,0,0,0,20,0,0
27,0,124953,9,2,2,3,0,1,0,1980,40,0,0
28,5,175325,9,0,12,2,0,1,0,0,40,0,0
51,0,96062,10,0,3,2,0,1,0,1977,40,0,1
27,0,428030,13,2,1,3,0,1,0,0,50,0,0
28,5,149624,13,0,5,2,0,1,0,0,40,0,1
27,0,253814,9,5,3,5,0,0,0,0,25,0,0
21,0,312956,9,2,1,1,4,1,0,0,40,0,0
34,0,483777,9,2,6,3,4,1,0,0,40,0,0
18,0,183930,9,2,2,1,0,1,0,0,12,0,0
33,0,37274,13,0,5,2,0,1,0,0,65,0,0
44,4,181344,10,0,4,2,4,1,0,0,38,0,1
43,0,114580,10,1,8,3,0,0,0,0,40,0,0
30,0,633742,10,2,1,3,4,1,0,0,45,0,0
40,0,286370,4,0,7,2,0,1,0,0,40,20,1
37,3,29054,10,0,8,2,0,1,0,0,42,0,1
34,0,304030,9,0,8,2,4,1,0,0,40,0,0
41,1,143129,13,1,4,3,0,0,0,0,40,0,0
53,NULL,135105,13,1,NULL,3,0,0,0,0,50,0,0
31,0,99928,14,0,5,0,0,0,0,0,50,0,0
58,5,109567,16,0,5,2,0,1,0,0,1,0,1
38,0,155222,10,1,7,3,4,0,0,0,28,0,0
24,0,159567,10,0,7,2,0,1,0,0,40,0,0
41,4,523910,13,0,1,2,4,1,0,0,40,0,0
47,0,120939,10,0,0,2,0,1,0,0,45,0,0
41,3,130760,13,0,0,2,0,1,0,0,24,0,0
23,0,197387,3,0,10,4,0,1,0,0,40,20,0
36,0,99374,10,1,1,3,0,1,0,0,40,0,0
40,3,56795,14,2,4,3,0,0,14084,0,55,0,1
35,0,138992,14,0,5,4,0,1,7298,0,40,0,1
24,1,32921,9,2,3,3,0,1,0,0,40,0,0
26,0,397317,14,2,5,3,0,0,0,1876,40,0,0
19,NULL,170653,9,2,NULL,1,0,1,0,0,40,16,0
51,0,259323,13,0,4,2,0,1,0,0,50,0,1
42,4,254817,10,2,5,3,0,0,0,1340,40,0,0
37,5,48211,9,1,8,5,0,0,0,0,35,0,0
18,0,140164,7,2,3,1,0,0,0,0,40,0,0
36,0,128757,13,0,2,2,4,1,7298,0,36,0,1
35,0,36270,9,1,1,3,0,1,0,0,60,0,0
58,2,210563,9,0,3,0,0,0,15024,0,35,0,1
17,0,65368,7,2,3,1,0,0,0,0,12,0,0
44,4,160943,9,0,10,2,4,1,0,0,40,0,0
37,0,208358,9,0,1,2,0,1,0,0,40,0,1
35,0,153790,10,2,3,3,2,0,0,0,40,0,0
60,0,85815,9,0,1,2,1,1,0,0,40,0,0
54,2,125417,4,0,7,2,0,1,0,0,40,0,1
37,0,635913,13,2,4,3,4,1,0,0,60,0,1
50,0,313321,12,1,3,3,0,0,0,0,40,0,0
38,0,182609,13,0,3,2,0,1,0,0,50,17,0
45,0,109434,13,0,5,2,0,1,0,0,55,0,0
25,0,255004,6,2,1,3,0,1,0,0,40,0,0
31,0,197860,10,0,6,2,0,1,0,0,40,0,0
64,NULL,187656,2,1,NULL,3,0,1,0,0,40,0,0
90,0,51744,9,2,2,3,4,1,0,2206,40,0,0
54,0,176681,9,0,8,2,4,1,0,0,20,0,0
53,4,140359,1,2,7,3,0,0,0,0,35,0,0
18,0,243313,9,2,3,1,0,0,0,0,40,0,0
60,NULL,24215,6,1,NULL,3,2,0,0,0,10,0,0
66,1,167687,9,0,9,2,0,1,1409,0,50,0,0
75,0,314209,11,4,8,3,0,0,0,0,20,29,0
65,0,176796,9,1,8,3,0,0,0,0,40,0,0
35,0,538583,7,3,10,3,4,1,3674,0,40,0,0
41,0,130408,9,1,3,5,4,0,0,0,38,0,0
25,0,159732,10,2,8,3,0,1,0,0,42,0,0
33,0,110978,10,1,1,4,3,0,0,0,40,0,0
28,0,76714,15,2,5,3,0,1,0,0,55,0,1
59,5,268700,9,0,2,2,0,1,0,0,40,0,0
40,5,170525,10,2,8,3,0,0,0,0,38,0,0
41,0,180138,13,0,4,2,0,1,0,0,50,13,1
38,4,115076,14,0,4,2,0,1,0,0,70,0,1
23,0,115458,9,2,10,1,0,1,0,0,40,0,0
40,0,347890,13,0,5,2,0,1,0,0,40,0,1
41,1,196001,9,0,2,0,0,0,0,0,20,0,0
24,5,273905,12,0,12,2,0,1,0,0,50,0,0
20,NULL,119156,10,2,NULL,1,0,1,0,0,20,0,0
38,0,179488,10,1,1,3,0,1,0,1741,40,0,0
56,0,203580,9,0,8,2,0,1,0,0,35,NULL,0
58,0,236596,9,0,8,2,0,1,0,0,45,0,1
32,0,183916,9,2,2,3,0,0,0,0,34,0,0
40,0,207578,12,0,0,2,0,1,0,1977,60,0,1
45,0,153141,9,0,8,2,0,1,0,0,40,NULL,0
41,0,112763,15,0,5,0,0,0,0,0,40,0,1
42,0,390781,13,0,8,0,4,0,0,0,40,0,0
59,4,171328,6,4,2,5,4,0,0,0,30,0,0
19,4,27382,10,2,8,1,0,1,0,0,40,0,0
58,0,259014,10,2,10,3,0,1,0,0,20,0,0
42,1,303044,9,0,9,2,1,1,0,0,40,1,1
20,0,117789,9,2,2,1,0,0,0,0,40,0,0
32,0,172579,9,3,2,3,0,0,0,0,30,0,0
45,0,187666,11,4,4,3,0,0,0,0,45,0,0
50,0,204518,4,1,1,3,0,1,0,0,40,0,0
36,0,150042,13,1,5,1,0,0,0,0,40,0,0
45,0,98092,9,0,3,2,0,1,0,0,60,0,0
17,0,245918,7,2,2,1,0,1,0,0,12,0,0
59,0,146013,10,0,3,2,0,1,4064,0,40,0,0
26,0,378322,7,0,1,2,0,1,0,0,40,0,0
37,2,257295,10,0,4,2,1,1,0,0,75,34,1
19,NULL,218956,10,2,NULL,1,0,1,0,0,24,4,0
64,0,21174,9,0,4,2,0,1,0,0,40,0,1
33,0,185480,13,2,5,3,0,0,0,0,45,0,0
33,0,222205,9,0,1,0,0,0,0,0,40,0,1
61,0,69867,9,0,4,2,0,1,0,0,40,0,1
17,0,191260,5,2,2,1,0,1,1055,0,24,0,0
50,1,30653,14,0,9,2,0,1,2407,0,98,0,0
27,4,209109,14,2,5,1,0,1,0,0,35,0,0
30,0,70377,9,1,5,1,0,0,0,0,40,0,0
43,0,477983,9,0,6,2,4,1,0,0,40,0,0
44,0,170924,10,0,1,2,0,1,7298,0,40,0,1
35,0,190174,10,2,4,3,0,0,0,0,40,0,0
25,0,193787,10,2,0,1,0,0,0,0,40,0,0
24,0,279472,10,0,7,0,0,0,7298,0,48,0,1
22,0,34918,13,2,5,3,0,0,0,0,15,5,0
42,4,97688,10,0,1,2,0,1,5178,0,40,0,1
34,0,175413,12,1,3,5,4,0,0,0,45,0,0
60,0,173960,13,1,5,3,0,0,0,0,42,0,0
21,0,205759,9,2,6,1,0,1,0,0,40,0,0
57,3,425161,14,0,3,2,0,1,15024,0,40,0,1
41,0,220531,15,0,5,2,0,1,0,0,60,0,1
50,0,176609,10,1,2,3,0,1,0,0,45,0,0
25,0,371987,13,2,4,3,0,0,0,0,40,0,0
50,0,193884,4,0,1,2,0,1,0,0,40,26,0
36,0,200352,13,0,5,2,0,1,0,0,45,0,0
31,0,127595,9,1,5,3,0,0,0,0,40,0,0
29,4,220419,13,2,12,3,0,1,0,0,56,0,0
21,0,231931,10,2,3,1,0,1,0,0,45,0,0
27,0,248402,13,2,0,5,4,0,0,0,40,0,0
65,0,111095,9,0,10,2,0,1,0,0,16,0,0
37,2,57424,13,1,3,3,0,0,0,0,60,0,0
39,NULL,157443,14,0,NULL,0,1,0,3464,0,40,NULL,0
24,0,278130,9,2,1,1,0,1,0,0,40,0,0
38,0,169469,9,1,3,3,0,1,0,0,80,0,0
48,0,146268,13,0,8,2,0,1,7688,0,40,0,1
21,0,153718,10,2,2,3,1,0,0,0,25,0,0
31,0,217460,9,0,10,2,0,1,0,0,45,0,1
55,0,238638,9,0,3,2,0,1,4386,0,40,0,1
24,0,303296,10,0,8,0,1,0,0,0,40,25,0
43,0,173321,9,1,8,3,0,0,0,0,40,0,0
26,0,193945,12,2,0,3,0,1,0,0,45,0,0
46,0,83082,12,2,5,3,0,0,0,0,33,0,0
35,0,193815,12,0,8,2,0,1,0,0,40,0,1
41,2,34987,10,0,9,2,0,1,0,0,54,0,1
26,0,59306,13,2,3,3,0,1,0,0,40,0,0
34,0,142897,14,0,4,2,1,1,7298,0,35,27,1
19,NULL,860348,10,2,NULL,1,4,0,0,0,25,0,0
36,1,205607,13,1,5,3,4,0,0,0,40,0,1
22,0,199698,10,2,3,1,0,1,0,0,15,0,0
24,0,191954,10,2,7,3,0,1,0,0,40,0,0
77,1,138714,10,0,3,2,0,1,0,0,40,0,0
22,0,399087,3,0,7,4,0,0,0,0,40,20,0
29,0,423158,10,2,0,3,0,0,0,0,40,0,0
62,0,159841,9,4,2,3,0,0,0,0,24,0,0
39,1,174308,9,0,4,2,0,1,0,0,40,0,0
43,0,50356,10,0,1,2,0,1,0,1485,50,0,0
35,0,186110,9,1,10,3,0,1,0,0,45,0,0
29,0,200381,7,2,4,3,0,0,0,0,40,0,0
76,1,174309,14,0,1,2,0,1,0,0,10,0,0
63,1,78383,9,0,9,2,0,1,0,0,45,0,0
23,NULL,211601,11,2,NULL,1,4,0,0,0,15,0,0
43,0,187728,10,0,5,0,0,0,0,1887,50,0,1
58,1,321171,9,0,6,2,0,1,0,0,40,0,0
66,0,127921,9,2,10,3,0,1,2050,0,55,0,0
41,0,206565,10,2,1,3,4,1,0,0,45,0,0
26,0,224563,13,2,8,3,0,1,0,0,40,0,0
47,0,178686,11,2,2,3,0,1,0,0,40,0,0
55,4,98545,6,0,8,2,0,1,0,0,40,0,0
53,0,242606,9,0,10,2,0,1,0,0,40,0,0
17,0,270942,3,2,2,4,0,1,0,0,48,20,0
30,0,94235,9,2,1,4,0,1,0,0,40,0,0
49,0,71195,14,2,5,3,0,1,0,0,60,0,0
19,0,104112,9,2,3,5,4,1,0,0,30,28,0
45,0,261192,9,0,2,2,4,1,0,0,40,0,0
26,0,94936,12,2,3,3,0,1,0,0,40,0,0
38,0,296478,11,0,1,2,0,1,7298,0,40,0,1
36,5,119272,9,0,12,2,0,1,7298,0,40,0,1
33,0,85043,9,2,9,3,0,1,0,0,20,0,0
22,5,293364,10,2,12,1,4,0,0,0,40,0,0
43,1,241895,13,2,3,3,0,1,0,0,42,0,0
67,NULL,36135,7,0,NULL,2,0,1,0,0,8,0,0
30,NULL,151989,11,1,NULL,5,0,0,0,0,40,0,0
56,0,101128,12,5,2,3,0,1,0,0,25,13,0
31,0,156464,13,2,5,1,0,1,0,0,25,0,0
33,0,117963,13,0,4,2,0,1,0,0,40,0,1
26,0,192262,9,0,2,2,0,1,0,0,40,0,0
33,0,111363,13,0,4,2,0,1,0,0,40,0,1
46,4,329752,7,0,10,2,0,1,0,0,30,0,0
59,NULL,372020,13,0,NULL,2,0,1,0,0,40,0,1
38,3,95432,9,0,8,2,0,1,0,0,40,0,1
65,0,161400,7,4,2,5,3,1,0,0,40,0,0
40,0,96129,11,0,0,2,0,1,0,0,40,0,1
42,0,111949,9,0,8,0,0,0,0,0,35,0,0
26,1,117125,5,0,1,2,0,1,0,0,40,21,0
36,0,348022,6,0,2,0,0,0,0,0,24,0,0
62,0,270092,14,0,5,2,0,1,0,0,40,0,1
43,0,180609,13,0,10,2,0,1,0,0,45,0,0
43,0,174575,13,1,4,3,0,1,0,1564,45,0,1
22,0,410439,9,5,3,3,0,1,0,0,55,0,0
28,0,92262,9,0,1,2,0,1,0,0,40,0,0
56,1,183081,10,0,3,2,0,1,0,0,45,0,0
22,0,362589,12,2,3,3,0,0,0,0,15,0,0
57,0,212448,13,1,4,3,0,0,0,0,45,0,1
39,0,481060,9,1,3,5,0,0,0,0,40,0,0
26,3,185885,10,2,8,5,0,0,0,0,15,0,0
17,0,89821,7,2,2,1,0,1,0,0,10,0,0
40,5,184018,11,0,7,2,0,1,0,0,38,0,1
45,0,256649,9,0,7,2,4,1,0,0,40,0,0
44,0,160323,9,2,1,3,4,1,0,0,40,0,0
20,4,350845,10,2,8,1,0,0,0,0,10,0,0
33,0,267404,9,0,1,0,0,0,0,0,40,0,0
23,0,35633,10,2,3,3,0,1,0,0,40,0,0
46,1,80914,14,1,4,3,0,1,0,0,30,0,0
38,0,172927,9,0,3,2,0,1,0,0,50,0,0
54,0,174319,9,1,10,3,0,1,0,0,40,0,0
46,0,214955,3,1,1,3,0,0,0,2339,45,0,0
25,0,344991,10,0,1,2,0,1,0,0,40,0,0
46,0,108699,10,1,3,3,0,0,0,0,40,0,0
36,4,117312,10,0,10,0,0,0,0,0,40,0,0
23,0,396099,9,2,2,3,0,0,0,0,25,0,0
29,0,134152,9,3,7,3,0,1,0,0,40,0,0
44,0,162028,10,0,8,0,0,0,0,2415,6,0,1
19,0,25429,10,2,8,1,0,0,0,0,16,0,0
19,0,232392,9,2,2,4,0,0,0,0,40,0,0
35,0,220098,9,0,2,0,0,0,0,0,40,0,1
27,0,301302,13,2,1,3,0,1,0,0,50,0,0
46,1,277946,12,3,1,3,0,1,0,0,40,0,0
34,5,98101,13,0,4,2,0,1,7688,0,45,NULL,1
34,0,196164,9,2,2,3,0,0,0,0,35,0,0
44,0,115562,10,0,0,2,0,1,0,0,40,0,0
45,0,96975,10,1,6,5,0,0,0,0,40,0,0
20,NULL,137300,9,2,NULL,4,0,0,0,0,35,0,0
25,0,86872,13,0,4,2,0,1,0,0,55,0,1
52,2,132178,13,0,4,2,0,1,0,0,50,0,1
20,0,416103,10,2,6,1,0,1,0,0,40,0,0
28,0,108574,10,2,2,3,0,0,0,0,40,0,0
50,5,288353,13,0,12,2,0,1,0,0,40,0,1
34,0,227689,11,1,0,3,0,0,0,0,64,0,0
28,0,166481,4,0,6,2,3,1,0,2179,40,3,0
41,0,445382,14,0,4,2,0,1,0,1977,65,0,1
28,0,110145,9,0,8,2,0,1,0,0,40,0,0
46,1,317253,9,0,1,2,0,1,0,0,25,0,0
28,NULL,123147,10,0,NULL,0,0,0,0,1887,40,0,1
32,0,364657,10,0,4,2,0,1,0,0,50,0,0
41,4,42346,10,1,2,3,4,0,0,0,24,0,0
24,0,241951,9,2,6,5,4,0,0,0,40,0,0
33,0,118500,10,1,4,5,0,0,0,0,40,0,0
46,0,188386,16,0,4,2,0,1,15024,0,60,0,1
31,5,1033222,10,0,7,2,0,1,0,0,40,0,0
35,0,92440,8,1,1,3,0,1,0,0,50,0,1
52,0,190762,2,0,7,2,0,1,0,0,40,20,0
30,0,426017,7,2,2,1,0,0,0,0,19,0,0
34,4,243867,7,3,7,3,4,1,0,0,40,0,0
34,5,240283,9,1,10,5,0,0,0,0,40,0,0
20,0,61777,10,0,3,2,0,1,0,0,30,0,0
17,0,175024,7,2,6,1,0,1,2176,0,18,0,0
32,5,92003,13,0,4,0,0,0,0,0,40,0,1
29,0,188401,9,1,9,3,0,1,0,0,40,0,0
33,0,228528,6,2,1,5,0,0,0,0,35,0,0
25,0,133373,9,0,10,2,0,1,0,0,60,0,0
36,3,255191,14,2,5,3,0,1,0,1408,40,0,0
23,0,204653,9,2,6,3,0,1,0,0,72,24,0
63,2,222289,9,0,4,2,0,1,0,0,40,0,1
47,4,287480,14,0,5,2,0,1,0,0,40,0,0
80,NULL,107762,9,4,NULL,3,0,1,0,0,24,0,0
17,NULL,202521,7,2,NULL,1,0,1,0,0,40,0,0
40,1,204116,13,5,5,3,0,0,2174,0,40,0,0
30,0,29662,12,0,2,0,0,0,0,0,25,0,1
27,0,116358,10,2,1,1,1,1,0,1980,40,15,0
33,0,208405,14,0,5,2,0,1,0,0,50,0,1
34,4,284843,9,2,9,3,4,1,594,0,60,0,0
34,4,117018,10,2,12,3,0,0,0,0,40,0,0
23,0,81281,10,0,8,2,0,1,0,0,40,0,0
42,4,340148,10,0,8,0,0,0,0,0,40,0,0
29,0,363425,13,2,5,3,0,1,0,0,40,0,0
45,0,45857,9,1,8,3,0,0,0,0,28,0,0
24,3,191073,9,2,13,1,0,1,0,0,40,0,0
44,0,116632,10,0,5,2,0,1,0,0,40,0,1
27,0,405855,5,2,1,4,0,1,0,0,40,20,0
20,0,298227,10,2,3,3,0,1,0,0,35,0,0
44,0,290521,9,4,4,5,4,0,0,0,40,0,0
51,0,56915,9,0,1,2,2,1,0,0,40,0,0
20,0,146538,9,0,7,2,0,1,0,0,40,0,0
17,NULL,258872,7,2,NULL,1,0,0,0,0,5,0,0
19,0,206399,9,2,7,1,4,0,0,0,40,0,0
45,2,197332,10,0,1,2,0,1,0,0,55,0,1
60,0,245062,9,0,1,2,0,1,0,0,40,0,1
42,0,197583,12,0,4,2,4,1,0,0,40,NULL,1
44,1,234885,9,0,3,0,0,0,0,0,40,0,1
40,0,72887,11,0,7,2,1,1,0,0,40,0,1
30,0,180374,9,0,4,0,0,0,0,0,40,0,0
38,0,351299,10,0,10,2,4,1,0,0,50,0,0
23,0,54012,9,0,10,2,0,1,0,0,60,0,0
32,NULL,115745,10,0,NULL,2,0,1,0,0,40,0,0
44,0,116632,12,2,9,1,0,1,0,0,40,0,0
54,4,288825,9,0,10,2,4,1,0,0,40,0,0
32,0,132601,13,0,5,2,0,1,0,0,50,0,0
50,0,193374,2,5,1,5,0,1,0,0,40,0,0
24,0,170070,13,2,0,3,0,0,0,0,20,0,0
37,0,126708,9,0,8,0,0,0,0,0,60,0,0
52,0,35598,9,1,10,5,0,1,0,0,40,0,0
38,0,33983,10,0,10,2,0,1,0,0,40,0,0
49,0,192776,14,0,4,2,0,1,0,1977,45,0,1
30,0,118551,13,0,0,0,0,0,0,0,16,0,1
60,0,201965,10,2,5,5,0,1,0,0,40,0,1
